ITEM	TYPE	SIZE	SHA256	CLASSIFICATION
ANALYSIS	FILE	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	EMPTY_PLACEHOLDER
CONCLUSION	FILE	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	EMPTY_PLACEHOLDER
DECISION	FILE	13031	ae848f6cb1b49ed766cd565700a60b3b6e6605bf5e13ce9091d8e81962a1b131	AUDIT_SCRIPT_OR_TRANSCRIPT_ARTIFACT
DOCUMENT	FILE	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	EMPTY_PLACEHOLDER
EVIDENCE	FILE	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	EMPTY_PLACEHOLDER
gsos-mobile-lab	FILE	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	EMPTY_UNTRACKED_FILE
gsos/archive/	DIRECTORY	18	N/A	UNTRACKED_DIRECTORY_REQUIRES_REVIEW
gsos/audit/	DIRECTORY	1	N/A	UNTRACKED_DIRECTORY_REQUIRES_REVIEW
gsos/docs/s08/	DIRECTORY	5	N/A	UNTRACKED_DIRECTORY_REQUIRES_REVIEW
gsos/executive/	DIRECTORY	5	N/A	UNTRACKED_DIRECTORY_REQUIRES_REVIEW
gsos/reports/	DIRECTORY	2	N/A	UNTRACKED_DIRECTORY_REQUIRES_REVIEW
gsos/runtime-v2/	DIRECTORY	34	N/A	UNTRACKED_DIRECTORY_REQUIRES_REVIEW
gsos/runtime/	DIRECTORY	43	N/A	UNTRACKED_DIRECTORY_REQUIRES_REVIEW
gsos/security/	DIRECTORY	1	N/A	UNTRACKED_DIRECTORY_REQUIRES_REVIEW
gsos/system/time-check.sh	FILE	525	917c97d5b9deed68aac5e1c3492aac5a134c7675c5c71222bad7eff4961a33ee	UNTRACKED_REQUIRES_REVIEW
