REF	TIMESTAMP	EVENT_TYPE	SOURCE	PATH	SHA256	PREVIOUS_REF
GSOS-TL-0001	1970-01-01 02:01:54	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/logger/audit.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-
GSOS-TL-0002	1970-01-01 02:01:54	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/logger/errors.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-
GSOS-TL-0003	1970-01-01 02:01:54	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/logger/session.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-
GSOS-TL-0004	1970-01-01 02:04:41	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/logger/logger.sh	19c72b6c2592dfc201cf7bc40c5dbb78b0474b9b88f37d4f5219f5f4546e4490	-
GSOS-TL-0005	1970-01-01 02:12:16	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/system/time.sh	42372179beee961b4b1c9880f23608d2c77d6bfcff717afa19f24200ad5e46cf	-
GSOS-TL-0006	1970-01-01 04:52:10	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/kernel/config.sh	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-
GSOS-TL-0007	1970-01-01 04:52:10	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/kernel/loader.sh	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-
GSOS-TL-0008	1970-01-01 05:15:29	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/kernel/boot.sh	b740b8b7e06d19137bfcd4a0e29484414dc7decb637ceabe6aa26284835e3d1d	-
GSOS-TL-0009	2026-07-28 12:05:19	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/config/system.conf	0c1f9f47b6ab0babdbe81c3c48b6d883848356cd7389ddb402371a41a15a4819	-
GSOS-TL-0010	2026-07-28 12:16:15	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/core/identity.sh	7bfbbd99f4132eb40921da72fd90258238f53a7a35c88027952d0e5f101632d1	-
GSOS-TL-0011	2026-07-29 01:30:50	CONTENT_TIMESTAMP	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/logger/history.log	50b3adb69c12f68ef0ec529052a7b81822886a4e9d4cae4a2448e8c4a61b3d7c	-
GSOS-TL-0012	2026-07-29 01:30:50	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/logger/history.log	50b3adb69c12f68ef0ec529052a7b81822886a4e9d4cae4a2448e8c4a61b3d7c	-
GSOS-TL-0013	2026-07-29 22:02:56	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/kernel/state.sh	d93a53ccd4f469ae1dd9cfb5206b8f8a0c9c3a6f39a7fdedd660abb910c09895	-
GSOS-TL-0014	2026-07-30 13:36:42	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/services/services.list	1977e76d327daca7ce1cefc432eb75525893ff0fd4062ef20bb6e229f747b6fa	-
GSOS-TL-0015	2026-07-30 13:47:34	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/services/service-manager.sh	d064bd16450314b951b82d1086de1ff1ba8e80618ed7bdcf11260425e0b95413	-
GSOS-TL-0016	2026-07-30 16:18:22	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/kernel/kernel.sh	642be230e4ce20f6cfd29bee019b17eece3ac18848132ac7c470e8e965910a0c	-
GSOS-TL-0017	2026-07-31 06:05:43	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/sync/sync.conf	7cfd01a0b011a5bcca68edb297135c33aa235d80026a6bdc74d11dbb8a04347f	-
GSOS-TL-0018	2026-07-31 06:08:50	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/sync/sync.sh	a1da4cb9d5c9ec5ca8d8c95b3bc88c43c6b5d91b4d286dd55ab7d5299efa2125	-
GSOS-TL-0019	2026-08-01 05:26:57	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/cloud/cloud.conf	c0c01e4089c03559ea93db62f2c99352444e5dfea95094b3e9a867a3e2a0533c	-
GSOS-TL-0020	2026-08-01 06:32:05	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/cloud/cloud.sh	00d9e846fbea5496b405adda3d325a6c17594b4dcf6bf0fc64ba2f9f0a4fa38d	-
GSOS-TL-0021	2026-08-01 06:38:43	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/.gitignore	28b05fdc132c40c5c887b3ae8e1a6b922b907319752e2ec342988dc54b70119a	-
GSOS-TL-0022	2026-08-01 08:23:50	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/bootstrap/bootstrap.conf	31bac8b652d0053f8ad66ddfe7bd8e3f34194d1487e7bba77378128cd9785fb7	-
GSOS-TL-0023	2026-08-01 08:33:42	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/bootstrap/bootstrap.sh	e8063972bd698fe5aa7e052f3322db77af56f8cd10fc32452544c31590598ce1	-
GSOS-TL-0024	2026-08-01 12:55:44	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/docs/FOUNDING_CHARTER_AR.md	dfc656a5ee1bec7ed072f28f4b27357d66eb1c6fb404e3d92448cf2273f77396	-
GSOS-TL-0025	2026-08-01 12:55:44	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/docs/s08/FOUNDING_CHARTER_AR.baseline.2026-08-11_00-35-11_CET.md	dfc656a5ee1bec7ed072f28f4b27357d66eb1c6fb404e3d92448cf2273f77396	-
GSOS-TL-0026	2026-08-01 14:42:30	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/knowledge/README.md	0f7705150dd1c200a7446e2a7c90f6ed9b5157e2ba9035da5e8d80f2ace9f274	-
GSOS-TL-0027	2026-08-01 15:56:06	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/knowledge/history/TIMELINE_AR.md	478ab9889981355e10e6e3020a425776ffabc7bd6e0b05fe8517cd55ffea02b5	-
GSOS-TL-0028	2026-08-01 15:56:43	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/knowledge/architecture/ARCHITECTURE_AR.md	c38597e9a3fa1f9965b54485665f6fc71c8fecff7ccf1e557c50a77e84a7e78c	-
GSOS-TL-0029	2026-08-01 21:46:39	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/knowledge/conversations/README.md	4a38a9ee725be397998d79ec27c3206e2cf1f793dbab9885cbdc8b5f101a655b	-
GSOS-TL-0030	2026-08-01 21:58:15	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/knowledge/conversations/chatgpt/.gitkeep	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-
GSOS-TL-0031	2026-08-01 21:58:15	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/knowledge/conversations/decisions/.gitkeep	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-
GSOS-TL-0032	2026-08-01 21:58:15	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/knowledge/conversations/github/.gitkeep	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-
GSOS-TL-0033	2026-08-01 21:58:15	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/knowledge/conversations/lovable/.gitkeep	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-
GSOS-TL-0034	2026-08-01 21:58:15	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/knowledge/conversations/termux/.gitkeep	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-
GSOS-TL-0035	2026-08-01 22:40:32	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/knowledge/conversations/chatgpt/2026/2026-07/INDEX.md	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-
GSOS-TL-0036	2026-08-01 22:40:32	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/knowledge/conversations/chatgpt/2026/2026-07/METADATA.json	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-
GSOS-TL-0037	2026-08-01 22:40:32	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/knowledge/conversations/decisions/2026/2026-07/.gitkeep	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-
GSOS-TL-0038	2026-08-01 22:40:32	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/knowledge/conversations/github/2026/2026-07/.gitkeep	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-
GSOS-TL-0039	2026-08-01 22:40:32	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/knowledge/conversations/lovable/2026/2026-07/.gitkeep	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-
GSOS-TL-0040	2026-08-01 22:40:32	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/knowledge/conversations/termux/2026/2026-07/.gitkeep	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-
GSOS-TL-0041	2026-08-04 15:36:56	CONTENT_TIMESTAMP	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/logger/time.log	8046c45f43cb2efedbd840a6f188e236948ccf03b5e6745c3982881cfaddf9ac	-
